,Country,Year,LPI_Score,LPI_Score_Interpolated
157,Benin,2022,,2.8699778
158,Benin,2023,2.9,2.9
159,Benin,2024,,2.9
160,Bhutan,2015,,2.321436
161,Bhutan,2016,2.321436,2.321436
162,Bhutan,2017,,2.245208
163,Bhutan,2018,2.16898,2.16898
164,Bhutan,2019,,2.235184
165,Bhutan,2020,,2.301388
166,Bhutan,2021,,2.367592
167,Bhutan,2022,,2.433796
168,Bhutan,2023,2.5,2.5
169,Bhutan,2024,,2.5
170,Bolivia,2015,,2.251462
171,Bolivia,2016,2.251462,2.251462
172,Bolivia,2017,,2.304919
173,Bolivia,2018,2.358376,2.358376
174,Bolivia,2019,,2.3667008
175,Bolivia,2020,,2.3750256
176,Bolivia,2021,,2.3833504
177,Bolivia,2022,,2.3916752
178,Bolivia,2023,2.4,2.4
179,Bolivia,2024,,2.4
180,Bosnia and Herzegovina,2015,,2.596254
181,Bosnia and Herzegovina,2016,2.596254,2.596254
182,Bosnia and Herzegovina,2017,,2.7024095
183,Bosnia and Herzegovina,2018,2.808565,2.808565
184,Bosnia and Herzegovina,2019,,2.846852
185,Bosnia and Herzegovina,2020,,2.885139
186,Bosnia and Herzegovina,2021,,2.923426
187,Bosnia and Herzegovina,2022,,2.961713
188,Bosnia and Herzegovina,2023,3,3
189,Bosnia and Herzegovina,2024,,3
190,Botswana,2015,,3.045458
191,Botswana,2016,3.045458,3.045458
192,Botswana,2017,,3.053249714
193,Botswana,2018,,3.061041429
194,Botswana,2019,,3.068833143
195,Botswana,2020,,3.076624857
196,Botswana,2021,,3.084416571
197,Botswana,2022,,3.092208286
198,Botswana,2023,3.1,3.1
199,Botswana,2024,,3.1
200,Brazil,2015,,3.087984
201,Brazil,2016,3.087984,3.087984
202,Brazil,2017,,3.036887
203,Brazil,2018,2.98579,2.98579
204,Brazil,2019,,3.028632
205,Brazil,2020,,3.071474
206,Brazil,2021,,3.114316
207,Brazil,2022,,3.157158
208,Brazil,2023,3.2,3.2
209,Brazil,2024,,3.2
210,Brunei Darussalam,2015,,2.870492
211,Brunei Darussalam,2016,2.870492,2.870492
212,Brunei Darussalam,2017,,2.7885245
213,Brunei Darussalam,2018,2.706557,2.706557
214,Brunei Darussalam,2019,,2.706557
215,Brunei Darussalam,2020,,2.706557
216,Brunei Darussalam,2021,,2.706557
217,Brunei Darussalam,2022,,2.706557
218,Brunei Darussalam,2023,,2.706557
219,Brunei Darussalam,2024,,2.706557
220,Bulgaria,2015,,2.807685
221,Bulgaria,2016,2.807685,2.807685
222,Bulgaria,2017,,2.920825
223,Bulgaria,2018,3.033965,3.033965
224,Bulgaria,2019,,3.067172
225,Bulgaria,2020,,3.100379
226,Bulgaria,2021,,3.133586
227,Bulgaria,2022,,3.166793
228,Bulgaria,2023,3.2,3.2
229,Bulgaria,2024,,3.2
230,Burkina Faso,2015,,2.73081
231,Burkina Faso,2016,2.73081,2.73081
232,Burkina Faso,2017,,2.676137
233,Burkina Faso,2018,2.621464,2.621464
234,Burkina Faso,2019,,2.5571712
235,Burkina Faso,2020,,2.4928784
236,Burkina Faso,2021,,2.4285856
237,Burkina Faso,2022,,2.3642928
238,Burkina Faso,2023,2.3,2.3
239,Burkina Faso,2024,,2.3
240,Burundi,2015,,2.509776
241,Burundi,2016,2.509776,2.509776
242,Burundi,2017,,2.2866925
243,Burundi,2018,2.063609,2.063609
244,Burundi,2019,,2.063609
245,Burundi,2020,,2.063609
246,Burundi,2021,,2.063609
247,Burundi,2022,,2.063609
248,Burundi,2023,,2.063609
249,Burundi,2024,,2.063609
250,Buthan,2015,,
251,Buthan,2016,,
252,Buthan,2017,,
253,Buthan,2018,,
254,Buthan,2019,,
255,Buthan,2020,,
256,Buthan,2021,,
257,Buthan,2022,,
258,Buthan,2023,,
259,Buthan,2024,,
260,Cambodia,2015,,2.80059
261,Cambodia,2016,2.80059,2.80059
262,Cambodia,2017,,2.689599
263,Cambodia,2018,2.578608,2.578608
264,Cambodia,2019,,2.5428864
265,Cambodia,2020,,2.5071648
266,Cambodia,2021,,2.4714432
267,Cambodia,2022,,2.4357216
268,Cambodia,2023,2.4,2.4
269,Cambodia,2024,,2.4
270,Cameroon,2015,,2.151499
271,Cameroon,2016,2.151499,2.151499
272,Cameroon,2017,,2.373523
273,Cameroon,2018,2.595547,2.595547
274,Cameroon,2019,,2.4964376
275,Cameroon,2020,,2.3973282
276,Cameroon,2021,,2.2982188
277,Cameroon,2022,,2.1991094
278,Cameroon,2023,2.1,2.1
279,Cameroon,2024,,2.1
280,Canada,2015,,3.930707
281,Canada,2016,3.930707,3.930707
282,Canada,2017,,3.828711
283,Canada,2018,3.726715,3.726715
284,Canada,2019,,3.781372
285,Canada,2020,,3.836029
286,Canada,2021,,3.890686
287,Canada,2022,,3.945343
288,Canada,2023,4,4
289,Canada,2024,,4
290,Central African Republic,2015,,2.148357
291,Central African Republic,2016,,2.148357
292,Central African Republic,2017,,2.148357
293,Central African Republic,2018,2.148357,2.148357
294,Central African Republic,2019,,2.2186856
295,Central African Republic,2020,,2.2890142
296,Central African Republic,2021,,2.3593428
297,Central African Republic,2022,,2.4296714
298,Central African Republic,2023,2.5,2.5
299,Central African Republic,2024,,2.5
300,Chad,2015,,2.164453
301,Chad,2016,2.164453,2.164453
302,Chad,2017,,2.290945
303,Chad,2018,2.417437,2.417437
304,Chad,2019,,2.417437
305,Chad,2020,,2.417437
306,Chad,2021,,2.417437
307,Chad,2022,,2.417437
308,Chad,2023,,2.417437
309,Chad,2024,,2.417437
310,Chile,2015,,3.248442
311,Chile,2016,3.248442,3.248442
312,Chile,2017,,3.2827935
313,Chile,2018,3.317145,3.317145
314,Chile,2019,,3.253716
315,Chile,2020,,3.190287
316,Chile,2021,,3.126858
317,Chile,2022,,3.063429
318,Chile,2023,3,3
319,Chile,2024,,3
320,China,2015,,3.661104
321,China,2016,3.661104,3.661104
322,China,2017,,3.6331255
323,China,2018,3.605147,3.605147
324,China,2019,,3.6241176
325,China,2020,,3.6430882
326,China,2021,,3.6620588
327,China,2022,,3.6810294
328,China,2023,3.7,3.7
329,China,2024,,3.7
330,Colombia,2015,,2.612351
331,Colombia,2016,2.612351,2.612351
332,Colombia,2017,,2.7769755
333,Colombia,2018,2.9416,2.9416
334,Colombia,2019,,2.93328
335,Colombia,2020,,2.92496
336,Colombia,2021,,2.91664
337,Colombia,2022,,2.90832
338,Colombia,2023,2.9,2.9
339,Colombia,2024,,2.9
340,Comoros,2015,,2.57914
341,Comoros,2016,2.57914,2.57914
342,Comoros,2017,,2.568119
343,Comoros,2018,2.557098,2.557098
344,Comoros,2019,,2.557098
345,Comoros,2020,,2.557098
346,Comoros,2021,,2.557098
347,Comoros,2022,,2.557098
348,Comoros,2023,,2.557098
349,Comoros,2024,,2.557098
350,"Congo, Dem, Rep,",2015,,2.375762
351,"Congo, Dem, Rep,",2016,2.375762,2.375762
352,"Congo, Dem, Rep,",2017,,2.375762
353,"Congo, Dem, Rep,",2018,,2.375762
354,"Congo, Dem, Rep,",2019,,2.375762
355,"Congo, Dem, Rep,",2020,,2.375762
356,"Congo, Dem, Rep,",2021,,2.375762
357,"Congo, Dem, Rep,",2022,,2.375762
358,"Congo, Dem, Rep,",2023,,2.375762
359,"Congo, Dem, Rep,",2024,,2.375762
360,"Congo, Dem. Rep.",2015,,2.428379
361,"Congo, Dem. Rep.",2016,,2.428379
362,"Congo, Dem. Rep.",2017,,2.428379
363,"Congo, Dem. Rep.",2018,2.428379,2.428379
364,"Congo, Dem. Rep.",2019,,2.4427032
365,"Congo, Dem. Rep.",2020,,2.4570274
366,"Congo, Dem. Rep.",2021,,2.4713516
367,"Congo, Dem. Rep.",2022,,2.4856758
368,"Congo, Dem. Rep.",2023,2.5,2.5
369,"Congo, Dem. Rep.",2024,,2.5
370,"Congo, Rep,",2015,,2.376768
371,"Congo, Rep,",2016,2.376768,2.376768
372,"Congo, Rep,",2017,,2.376768
373,"Congo, Rep,",2018,,2.376768
374,"Congo, Rep,",2019,,2.376768
375,"Congo, Rep,",2020,,2.376768
376,"Congo, Rep,",2021,,2.376768
377,"Congo, Rep,",2022,,2.376768
378,"Congo, Rep,",2023,,2.376768
379,"Congo, Rep,",2024,,2.376768
380,"Congo, Rep.",2015,,2.485858
381,"Congo, Rep.",2016,,2.485858
382,"Congo, Rep.",2017,,2.485858
383,"Congo, Rep.",2018,2.485858,2.485858
384,"Congo, Rep.",2019,,2.5086864
385,"Congo, Rep.",2020,,2.5315148
386,"Congo, Rep.",2021,,2.5543432
387,"Congo, Rep.",2022,,2.5771716
388,"Congo, Rep.",2023,2.6,2.6
389,"Congo, Rep.",2024,,2.6
390,Costa Rica,2015,,2.64897
391,Costa Rica,2016,2.64897,2.64897
392,Costa Rica,2017,,2.720317
393,Costa Rica,2018,2.791664,2.791664
394,Costa Rica,2019,,2.8133312
395,Costa Rica,2020,,2.8349984
396,Costa Rica,2021,,2.8566656
397,Costa Rica,2022,,2.8783328
398,Costa Rica,2023,2.9,2.9
399,Costa Rica,2024,,2.9
400,Country,2015,,
401,Country,2016,,
402,Country,2017,,
403,Country,2018,,
404,Country,2019,,
405,Country,2020,,
406,Country,2021,,
407,Country,2022,,
408,Country,2023,,
409,Country,2024,,
410,Croatia,2015,,3.160829
411,Croatia,2016,3.160829,3.160829
412,Croatia,2017,,3.1324595
413,Croatia,2018,3.10409,3.10409
414,Croatia,2019,,3.143272
415,Croatia,2020,,3.182454
416,Croatia,2021,,3.221636
417,Croatia,2022,,3.260818
418,Croatia,2023,3.3,3.3
419,Croatia,2024,,3.3
420,Cuba,2015,,2.346459
421,Cuba,2016,2.346459,2.346459
422,Cuba,2017,,2.271809
423,Cuba,2018,2.197159,2.197159
424,Cuba,2019,,2.1977272
425,Cuba,2020,,2.1982954
426,Cuba,2021,,2.1988636
427,Cuba,2022,,2.1994318
428,Cuba,2023,2.2,2.2
429,Cuba,2024,,2.2
430,Cyprus,2015,,2.999061
431,Cyprus,2016,2.999061,2.999061
432,Cyprus,2017,,3.074949
433,Cyprus,2018,3.150837,3.150837
434,Cyprus,2019,,3.1606696
435,Cyprus,2020,,3.1705022
436,Cyprus,2021,,3.1803348
437,Cyprus,2022,,3.1901674
438,Cyprus,2023,3.2,3.2
439,Cyprus,2024,,3.2
440,Czech Republic,2015,,3.674309
441,Czech Republic,2016,3.674309,3.674309
442,Czech Republic,2017,,3.6773195
443,Czech Republic,2018,3.68033,3.68033
444,Czech Republic,2019,,3.604264
445,Czech Republic,2020,,3.528198
446,Czech Republic,2021,,3.452132
447,Czech Republic,2022,,3.376066
448,Czech Republic,2023,3.3,3.3
449,Czech Republic,2024,,3.3
450,Côte d'Ivoire,2015,,2.602573
451,Côte d'Ivoire,2016,2.602573,2.602573
452,Côte d'Ivoire,2017,,2.842413
453,Côte d'Ivoire,2018,3.082253,3.082253
454,Côte d'Ivoire,2019,,3.082253
455,Côte d'Ivoire,2020,,3.082253
456,Côte d'Ivoire,2021,,3.082253
457,Côte d'Ivoire,2022,,3.082253
458,Côte d'Ivoire,2023,,3.082253
459,Côte d'Ivoire,2024,,3.082253
460,Denmark,2015,,3.815794
461,Denmark,2016,3.815794,3.815794
462,Denmark,2017,,3.9038265
463,Denmark,2018,3.991859,3.991859
464,Denmark,2019,,4.0134872
465,Denmark,2020,,4.0351154
